ClubName,LocationAddress,PostalAddress,Region,Contact,Email,Phone,Website,Facilities
Abbeyleix Golf Club,Rathmoyle Abbeyleix Co. Laois,Abbeyleix Golf Club Rathmoyle r32v583,Laois,,,0578731450,https://abbeyleixgolfclub.ie,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 5, Available: True); Golf Buggies (Quantity: 2, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 0, Available: False); Pull/Push Carts (Quantity: 20, Available: True)"
Achill Golf Club,Keel Achill  Sound Westport Co. Mayo,,Mayo,,achillislandgolfclub@gmail.com,09843456,http://www.achillgolf.com,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 5, Available: True); Golf Buggies (Quantity: 0, Available: False); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 0, Available: False); Pull/Push Carts (Quantity: 15, Available: True)"
Adare Golf Club,Adare Manor Hotel & Golf Resort Adare Co. Limerick,Adare Manor Hotel & Golf Resort Adare Co. Limerick,Limerick,,,061605260,http://www.adaremanor.com/golf,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: False); Pro Shop (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 0, Available: False); Golf Buggies (Quantity: 0, Available: False); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 0, Available: False); Pull/Push Carts (Quantity: 0, Available: False)"
Adare Manor Golf Club,Adare (Old Course) Co. Limerick,Adare Manor Golf Club,Limerick,,info@adaremanorgolfclub.com,061-396204,,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: True); Driving Range (Quantity: 0, Available: False); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 0, Available: True); Golf Buggies (Quantity: 0, Available: True); Golf Shoes (Quantity: 0, Available: True); Motorised Carts (Quantity: 0, Available: False); Pull/Push Carts (Quantity: 0, Available: True)"
Antrim Golf Club,45 Castle Road Antrim Co. Antrim BT41 4NA,,Antrim,,antrimgolfclub1@btinternet.com,02894429001,http://www.antrimgolfclub.com,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: False); Pro Shop (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 0, Available: False); Golf Buggies (Quantity: 0, Available: False); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 0, Available: False); Pull/Push Carts (Quantity: 0, Available: False)"
Ardee Golf Club,Townparks Ardee Co. Louth,Townparks Ardee Co. Louth a92wk88,Louth,,office@ardeegolfclub.com,0416853227,https://www.ardeegolfclub.com/,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: True); Driving Range (Quantity: 0, Available: True); Caddies (Quantity: 5, Available: True); Club Sets (Quantity: 2, Available: True); Golf Buggies (Quantity: 8, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 0, Available: False); Pull/Push Carts (Quantity: 30, Available: True)"
Ardglass Golf Club,4 Castle Place Ardglass Co. Down BT30 7TP,,Down,,info@ardglassgolfclub.com,02844841219,http://www.ardglassgolfclub.com/,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: True); Driving Range (Quantity: 0, Available: True); Caddies (Quantity: 30, Available: True); Club Sets (Quantity: 8, Available: True); Golf Buggies (Quantity: 8, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 10, Available: True); Pull/Push Carts (Quantity: 20, Available: True)"
Ardminnan Golf Club,15a Ardminnan Road Portaferry Co. Down BT22 1QJ,,Down,,ardminnansecretary@hotmail.com,02842771321,,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: False); Pro Shop (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 0, Available: False); Golf Buggies (Quantity: 0, Available: False); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 0, Available: False); Pull/Push Carts (Quantity: 0, Available: False)"
Arklow Golf Club,Abbeylands Arklow Co. Wicklow,Abbeylands Arklow  Co Wicklow,Wicklow,Tracey O'Donovan,info@arklowgolflinks.com,040232492,http://www.arklowgolflinks.com,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: True); Driving Range (Quantity: 0, Available: False); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 4, Available: True); Golf Buggies (Quantity: 4, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 20, Available: True); Pull/Push Carts (Quantity: 50, Available: True)"
Ashbourne Golf Club,Archerstown Road Archerstown Ashbourne Co. Meath,Archerstown Road Archerstown Ashbourne Co Meath A84 R528,Meath,Aoife Driver,,018352005,http://ashbournegolfclub.ie,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: True); Driving Range (Quantity: 0, Available: True); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 0, Available: True); Golf Buggies (Quantity: 0, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 0, Available: True); Pull/Push Carts (Quantity: 0, Available: True)"
Ashfield Golf Club,Cregganduff Road Cullyhanna Co Armagh BT35 0JJ,,Armagh,,ashfieldgolfclub@gmail.com,02830868180,,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: False); Pro Shop (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 0, Available: False); Golf Buggies (Quantity: 0, Available: False); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 0, Available: False); Pull/Push Carts (Quantity: 0, Available: False)"
Athenry Golf Club,Palmerstown Oranmore Co. Galway H91 HH5T,Palmerstown Oranmore Co. Galway,Galway,Office Administrator,info@athenrygolfclub.net,091794466,http://www.athenrygolfclub.net,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 2, Available: True); Pro Shop (Quantity: 0, Available: True); Driving Range (Quantity: 0, Available: True); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 4, Available: True); Golf Buggies (Quantity: 4, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 4, Available: True); Pull/Push Carts (Quantity: 35, Available: True)"
Athlone Golf Club,Hodson Bay Athlone Co. Roscommon N37 AX07,Hudson Bay Athlone Co Roscommon  N37 AX07,Roscommon,Therese Clarke Office (090) 6492073,athlonegolfclub@gmail.com,Office 090 6492073,http://www.athlonegolfclub.ie,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: True); Driving Range (Quantity: 0, Available: False); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 10, Available: True); Golf Buggies (Quantity: 8, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 0, Available: False); Pull/Push Carts (Quantity: 30, Available: True)"
Athy Golf Club,Geraldine Athy Co.Kildare,,Kildare,,,0598631729,http://athygolfclub.com,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: True); Driving Range (Quantity: 0, Available: True); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 0, Available: False); Golf Buggies (Quantity: 3, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 0, Available: False); Pull/Push Carts (Quantity: 24, Available: True)"
Aughnacloy Golf Club,99A  Tullyvar Road Aughnacloy Co. Tyrone BT69 6BL,99A Tullyvar Road Aughnacloy BT696BL,Tyrone,Sidney Houston,Sidney.houston@yahoo.co.uk,02885557050,,"Adventure Golf (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: False); Golf Course (Non-rated) (Quantity: 0, Available: False); Golf Course (WHS™ Rated) (Quantity: 0, Available: False); Mini Golf (Quantity: 0, Available: False); Short Course (Quantity: 0, Available: False); Practice Putting Green (Quantity: 0, Available: True); Pro Shop (Quantity: 0, Available: False); Driving Range (Quantity: 0, Available: True); Caddies (Quantity: 0, Available: False); Club Sets (Quantity: 6, Available: True); Golf Buggies (Quantity: 3, Available: True); Golf Shoes (Quantity: 0, Available: False); Motorised Carts (Quantity: 0, Available: False); Pull/Push Carts (Quantity: 4, Available: True)"
